"Año","Zona","Ámbito geográfico","Población Estacional Máxima","Nº de Plazas restaurantes","Índice Máximo de Concentración de Restaurantes (Pobl. máxima / Plaza)"
"2020","Zona Costa","Calp","33.925","11.934","2,84"
"2019","Zona Costa","Calp","178.517","11.934","14,96"
"2018","Zona Costa","Calp","173.305","11.872","14,60"
"2017","Zona Costa","Calp","167.707","11.829","14,18"
"2016","Zona Costa","Calp","164.918","11.806","13,97"
"2015","Zona Costa","Calp","161.608","11.731","13,78"
"2014","Zona Costa","Calp","163.224","11.327","14,41"
"2013","Zona Costa","Calp","159.096","11.530","13,80"
"2012","Zona Costa","Calp","154.328","0",""
"2011","Zona Costa","Calp","149.890","0",""